"source_file","page","list_title","document_notes","location_group","section","producer","item","ano","qty","posicion","raw_line"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","BLANCOS INTERNACIONALES","","Bruno Colin Batard-Montrachet GC","2022","1","CAV 3 - 0 DER","Bruno Colin Batard-Montrachet GC | 2022 | 1 | CAV 3 - 0 DER"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","BLANCOS INTERNACIONALES","","Carrillon Puligny Montrachet 1C Les Folatieres","2023","1","CAV 3 - 0 CEN","Carrillon Puligny Montrachet 1C Les Folatieres | 2023 | 1 | CAV 3 - 0 CEN"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","BLANCOS INTERNACIONALES","","Cloudy Bay","2024","2","CAV 2 - 8 IZQ","Cloudy Bay | 2024 | 2 | CAV 2 - 8 IZQ"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","BLANCOS INTERNACIONALES","","Coche-Dury Corton-Charlemagne GC","2016","1","CAV 3 - 0 DER","Coche-Dury Corton-Charlemagne GC | 2016 | 1 | CAV 3 - 0 DER"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","BLANCOS INTERNACIONALES","","De Villaine Bouzeron Aligoté","2022","1","","De Villaine Bouzeron Aligoté | 2022 | 1"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","BLANCOS INTERNACIONALES","","DeMorgenzon Reserve Chenin","2023","1","CAV 3 - 0 DER","DeMorgenzon Reserve Chenin | 2023 | 1 | CAV 3 - 0 DER"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","BLANCOS INTERNACIONALES","","Domaine Les Deux Fleches Saint Veran","2023","1","","Domaine Les Deux Fleches Saint Veran | 2023 | 1"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","BLANCOS INTERNACIONALES","","DRC Montrachet","2019","1","CAV 2 - EXP CEN","DRC Montrachet | 2019 | 1 | CAV 2 - EXP CEN"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","BLANCOS INTERNACIONALES","","Evening Land Salem","2021","2","CAV 2 - 7 IZQ","Evening Land Salem | 2021 | 2 | CAV 2 - 7 IZQ"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","BLANCOS INTERNACIONALES","","Evening Land Seven Springs","2022","1","CAV 3 - 0 CEN","Evening Land Seven Springs | 2022 | 1 | CAV 3 - 0 CEN"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","BLANCOS INTERNACIONALES","","Kühling - Gillot Oppenheim","2020","1","CAV 3 - 0 IZQ","Kühling - Gillot Oppenheim | 2020 | 1 | CAV 3 - 0 IZQ"
"tasca fina 18 de febrero.pdf","3","tasca fina 18 de febrero","","","BLANCOS INTERNACIONALES","","Mandolás Oremus","2023","2","CAV 2 - 6 IZQ","Mandolás Oremus | 2023 | 2 | CAV 2 - 6 IZQ"
